职位名称,职位地址,薪资,学历经验要求,公司名称,公司信息,公司福利,详情页链接
python工程师,北京·海淀区·中关村,15-25K·14薪,经验不限本科,中科微澜科技,信息安全天使轮20-99人,员工旅游，股票期权，节日福利，带薪年假，五险一金,https://www.zhipin.com/job_detail/d9b3e0f71fd834fd1nJ-2d65FVtY.html
Python开发工程师,北京,9-14K,1-3年本科,珠海深译信息有限...,移动互联网A轮20-99人,员工旅游，有无线网，住房补贴，交通补助，零食下午茶，餐补，节日福利，通讯补贴，绩效奖金，年终奖，带薪年假，五险一金,https://www.zhipin.com/job_detail/8813a49503cbac8b1nF53dW_EVZY.html
python工程师,北京·朝阳区·大望路,25-35K·17薪,经验不限本科,险峰长青投资咨询,基金未融资20-99人,餐补，定期体检，零食下午茶，员工旅游，通讯补贴，补充医疗保险，节日福利，五险一金，股票期权，年终奖，带薪年假,https://www.zhipin.com/job_detail/b89e111ae19621b81nFz3t60EVBX.html
Python开发工程师,北京·海淀区·北太平庄,20-40K·14薪,3-5年本科,混沌学园,在线教育不需要融资100-499人,餐补，节日福利，五险一金，带薪年假，补充医疗保险，加班补助，定期体检,https://www.zhipin.com/job_detail/0a24f0307c6af50d1n143Ni9FFZY.html
Python算法工程师,北京·海淀区·上地,25-35K,3-5年本科,国科恒通,计算机软件未融资100-499人,员工旅游，定期体检，年终奖，节日福利，带薪年假，通讯补贴，五险一金,https://www.zhipin.com/job_detail/b2d3fbd755b1e9761n163tm8FVVW.html
Python开发工程师,北京·朝阳区·酒仙桥,10-13K,3-5年大专,博彦科技,计算机软件已上市10000人以上,带薪年假，免费班车，节日福利，年终奖，五险一金，定期体检,https://www.zhipin.com/job_detail/c61638d9f4bfa68b1XZz0t-6EVpY.html
Python开发工程师,北京·海淀区·双安,10-12K,1-3年大专,森艾电子,企业服务100-499人,,https://www.zhipin.com/job_detail/50b052038f78c6d11XZ60ti5GFFT.html
Python开发工程师,北京·海淀区·双安,10-12K,1-3年大专,森艾电子,企业服务100-499人,,https://www.zhipin.com/job_detail/50b052038f78c6d11XZ60ti5GFFT.html
Python开发工程师,北京·朝阳区·酒仙桥,10-13K,3-5年大专,博彦科技,计算机软件已上市10000人以上,带薪年假，免费班车，节日福利，年终奖，五险一金，定期体检,https://www.zhipin.com/job_detail/c61638d9f4bfa68b1XZz0t-6EVpY.html
Python开发工程师,北京·朝阳区·酒仙桥,20-40K·15薪,3-5年本科,奇虎360,互联网已上市1000-9999人,五险一金，股票期权，节日福利，零食下午茶，定期体检，餐补，年终奖，补充医疗保险，交通补助，带薪年假，包吃，免费班车,https://www.zhipin.com/job_detail/7a6ac1b4f6962ad61nx82d-7E1dZ.html
python工程师,北京·朝阳区·大望路,25-35K·17薪,经验不限本科,险峰长青投资咨询,基金未融资20-99人,餐补，定期体检，零食下午茶，员工旅游，通讯补贴，补充医疗保险，节日福利，五险一金，股票期权，年终奖，带薪年假,https://www.zhipin.com/job_detail/b89e111ae19621b81nFz3t60EVBX.html
python工程师（RPA）,北京,12-24K·13薪,1-3年本科,天职国际会计师事务所,财务/审计/税务不需要融资1000-9999人,年终奖，节日福利，餐补，定期体检，住房补贴，零食下午茶，通讯补贴，加班补助，员工旅游，带薪年假，交通补助，包吃，五险一金,https://www.zhipin.com/job_detail/57b02d83739dd59d1n192Ny6GFVW.html
中级Python开发工程师,北京·丰台区·科技园区,15-20K,3-5年本科,摩湃得,移动互联网未融资20-99人,零食下午茶，补充医疗保险，股票期权，节日福利，年终奖，员工旅游，五险一金,https://www.zhipin.com/job_detail/70ba1d60c7472dfb1nBz3920FlJR.html
Python爬虫工程师,北京·海淀区·双榆树,8-13K,1-3年大专,软通动力信息技术集团,计算机软件已上市10000人以上,包吃，零食下午茶，通讯补贴，餐补，补充医疗保险，全勤奖，五险一金，加班补助，带薪年假，员工旅游，免费班车，节日福利，年终奖，定期体检，交通补助,https://www.zhipin.com/job_detail/1b5654252f3f1b3f1XZy09y8GVBZ.html
Python开发工程师,北京·海淀区·双榆树,30-50K·15薪,3-5年本科,今日头条,移动互联网D轮及以上10000人以上,交通补助，年终奖，通讯补贴，定期体检，零食下午茶，补充医疗保险，包吃，全勤奖，住房补贴，加班补助，员工旅游，股票期权，节日福利，带薪年假，五险一金，免费班车,https://www.zhipin.com/job_detail/317a31de4191d4c41XZ43t-5GVRV.html
python开发工程师,北京·海淀区·西北旺,15-30K·14薪,经验不限本科,华为,计算机软件不需要融资10000人以上,定期体检，餐补，员工旅游，补充医疗保险，五险一金，节日福利，年终奖，零食下午茶，股票期权，加班补助,https://www.zhipin.com/job_detail/1419b8b2b848e3241nx80tq4EVJW.html
Python研发工程师,北京·昌平区·回龙观,20-40K·14薪,经验不限本科,零犀科技,计算机软件C轮100-499人,交通补助，节日福利，股票期权，零食下午茶，带薪年假，五险一金，年终奖,https://www.zhipin.com/job_detail/da61462effd552031nJ72dW4F1RY.html
Python开发工程师,北京·西城区·动物园,12-24K·15薪,经验不限大专,启明星辰,信息安全已上市1000-9999人,定期体检，补充医疗保险，年终奖，节日福利，全勤奖，通讯补贴，交通补助，员工旅游，带薪年假，餐补，五险一金，加班补助,https://www.zhipin.com/job_detail/f6201a7c6aef173b1XR62N6_FFZS.html
Python工程师(DR2),北京·朝阳区·酒仙桥,20-40K,1-3年本科,Cider,电子商务B轮500-999人,加班补助，五险一金，节日福利，餐补，交通补助，股票期权，年终奖，住房补贴，带薪年假，零食下午茶,https://www.zhipin.com/job_detail/d07ad17505a3c4de1XR63N26E1BX.html
Python开发工程师,北京·石景山区·苹果园,12-19K,1-3年本科,东土正创,计算机硬件20-99人,年终奖，五险一金，免费班车，股票期权，定期体检，加班补助，餐补，带薪年假，节日福利,https://www.zhipin.com/job_detail/9bf7f88172e2941d1XR63NW6ElFQ.html
Python开发工程师,北京·海淀区·中关村,15-20K·15薪,1-3年本科,LinkDoc,移动互联网D轮及以上10000人以上,五险一金，年终奖，定期体检，补充医疗保险，带薪年假，餐补，节日福利,https://www.zhipin.com/job_detail/cb943499b6501cbf1XR-2ti7FVpY.html
Python开发工程师,北京·石景山区·鲁谷,15-20K,3-5年本科,软通动力信息技术集团,计算机软件已上市10000人以上,交通补助，节日福利，零食下午茶，免费班车，加班补助，员工旅游，餐补，五险一金，通讯补贴，包吃，补充医疗保险，定期体检，年终奖，带薪年假，全勤奖,https://www.zhipin.com/job_detail/25e424d778c58ffd1XRz2ty-E1RQ.html
python开发工程师,北京·海淀区·西山,15-30K·15薪,5-10年本科,天翼云,计算机软件1000-9999人,,https://www.zhipin.com/job_detail/fc4e7c4869db3a601nx53di0FltV.html
Python开发工程师,北京·海淀区·上地,25-35K·15薪,1-3年本科,微博,互联网已上市1000-9999人,免费班车，补充医疗保险，五险一金，餐补，年终奖，带薪年假，节日福利，定期体检,https://www.zhipin.com/job_detail/142a160f94174b891XZ73tW0EFBQ.html
python开发工程师,北京·海淀区·上地,25-30K,3-5年本科,超有钱,互联网天使轮20-99人,餐补，股票期权，年终奖，五险一金，定期体检，节日福利，带薪年假,https://www.zhipin.com/job_detail/00bbe10717aaf5af1nx42dW1GVBT.html
python工程师[中高级],北京·朝阳区·将台路,10-15K,3-5年本科,达瓦未来,计算机软件未融资100-499人,带薪年假，五险一金,https://www.zhipin.com/job_detail/01bf185fddf916af1XZ40ty-FVVZ.html
Python全栈开发工程师,北京·海淀区·四季青,15-20K,1-3年本科,中科飞龙,智能硬件未融资20-99人,餐补，五险一金，定期体检,https://www.zhipin.com/job_detail/f129fa5d2c3e5ab91XZ6092_E1ZQ.html
Python开发工程师,北京,15-30K·14薪,经验不限本科,华为,计算机软件不需要融资10000人以上,节日福利，股票期权，零食下午茶，定期体检，补充医疗保险，年终奖，员工旅游，五险一金，加班补助，餐补,https://www.zhipin.com/job_detail/d107db3cf481a4001XV82tu7E1FY.html
python开发工程师,北京·朝阳区·三里屯,18-30K·14薪,3-5年本科,ZingFront,移动互联网A轮100-499人,员工旅游，定期体检，补充医疗保险，零食下午茶，股票期权，五险一金，节日福利，住房补贴，带薪年假,https://www.zhipin.com/job_detail/d1344cfaf44379231nV92tS8FVFW.html
Python开发工程师,北京·昌平区·北七家,20-40K,3-5年本科,阿波罗百嘉健康科技,医疗健康A轮20-99人,定期体检，餐补，补充医疗保险，节日福利，零食下午茶，交通补助，五险一金，带薪年假，年终奖，通讯补贴,https://www.zhipin.com/job_detail/2fe75c968d11aafa1XZ73t2_FFdV.html
Python后端开发工程师,北京,17-25K,3-5年大专,北京天域盛业,智能硬件20-99人,,https://www.zhipin.com/job_detail/8dcc4c606db455af1nN52di9FlBS.html
Python开发工程师,北京·西城区·动物园,18-23K,经验不限大专,四川准达,通信/网络设备未融资1000-9999人,定期体检，带薪年假，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/7dcec438b77ea4a81XV-09q0E1tW.html
Python开发工程师,北京·顺义区·后沙峪,15-20K·13薪,3-5年本科,ZD,汽车生产不需要融资100-499人,定期体检，年终奖，餐补，节日福利，带薪年假，通讯补贴，五险一金,https://www.zhipin.com/job_detail/257acfb21a58e6261XV72t68FVFX.html
python开发工程师(实习),北京·海淀区·上地,200-400元/天,5天/周6个月本科,墨云科技,信息安全B轮100-499人,零食下午茶，定期体检，节日福利，餐补，年终奖，带薪年假，加班补助，五险一金，股票期权,https://www.zhipin.com/job_detail/554fe011b68183951nJ60tW9FVJS.html
python后端开发工程师,北京·东城区·朝阳门,13-25K·13薪,1-3年本科,艾迈科斯媒体科技,互联网C轮500-999人,五险一金，节日礼物，生日会，中医按摩，年终奖，三餐免费，出国旅游，加班补助，六险一金，包吃，定期体检，员工旅游，交通补助，节日福利，带薪年假，补充医疗保险，零食下午茶,https://www.zhipin.com/job_detail/6662d2720d0d66721nJz09u5GVFS.html
Python研发工程师,北京·朝阳区·望京,15-25K,5-10年大专,邮来邮网,移动互联网不需要融资100-499人,补充医疗保险，员工旅游，全勤奖，加班补助，餐补，节日福利，年终奖，交通补助，股票期权，五险一金，带薪年假,https://www.zhipin.com/job_detail/96bfa4785fa9b2641XZ639m-GFZR.html
python开发工程师,北京·西城区·宣武门,15-20K,3-5年本科,北京汇成基金,基金不需要融资100-499人,年终奖，带薪年假，节日福利，定期体检，五险一金，零食下午茶,https://www.zhipin.com/job_detail/a30e83ecfe27e6311nx-2t60E1BZ.html
Python业务开发工程师,北京·朝阳区·望京,15-30K·14薪,1-3年本科,蒙悦科技,计算机软件天使轮20-99人,股票期权，五险一金，零食下午茶，员工旅游，加班补助，节日福利，年终奖，住房补贴,https://www.zhipin.com/job_detail/deafe62e465354d81n1-2du_GFFY.html
后端研发工程师（python）,北京·朝阳区·立水桥,20-35K·16薪,3-5年本科,回旋加速,移动互联网不需要融资100-499人,员工旅游，年终奖，股票期权，交通补助，补充医疗保险，加班补助，带薪年假，定期体检，零食下午茶，节日福利，五险一金,https://www.zhipin.com/job_detail/a94c92f2a7e6731b1nN729u_FVpX.html
python数据分析实习生,北京·顺义区·后沙峪,150-300元/天,4天/周3个月本科,锐亚教育,在线教育不需要融资100-499人,定期体检，补充医疗保险，股票期权，全勤奖，五险一金，年终奖,https://www.zhipin.com/job_detail/bfc0cd253ccb3cfd1nN53dm4ElNS.html
资深python开发工程师,北京·朝阳区·立水桥,20-35K·14薪,3-5年本科,途游游戏,游戏不需要融资1000-9999人,餐补，节日福利，全勤奖，带薪年假，员工旅游，年终奖，股票期权，零食下午茶，定期体检，五险一金，交通补助,https://www.zhipin.com/job_detail/f35d35925b92e37f1nx_2d-9GVFZ.html
Python开发工程师,北京·朝阳区·望京,15-30K,3-5年本科,Newbanker,互联网C轮100-499人,五险一金，零食下午茶，节日福利，股票期权，员工旅游，带薪年假,https://www.zhipin.com/job_detail/d1d081fee34946931n1z2d20F1NQ.html
python开发工程师,北京·海淀区·五道口,18-30K·14薪,3-5年本科,XtalPi,互联网D轮及以上500-999人,定期体检，股票期权，五险一金，年终奖，餐补，每周员工运动，加班补助，节日福利，带薪年假，住宿过渡费，购书福利，零食下午茶，住房补贴,https://www.zhipin.com/job_detail/7ee850e51d9f16691XVy39W8E1pR.html
高级Python开发工程师,北京·朝阳区·立水桥,25-40K,5-10年本科,北京雷石,互联网B轮100-499人,加班补助，五险一金，补充医疗保险，年终奖，带薪年假，餐补，定期体检,https://www.zhipin.com/job_detail/c33e96fe5054a33d1n1_39-7ElpW.html
python开发工程师（北京）,北京·西城区·动物园,12-20K·14薪,1-3年本科,奇安信集团,信息安全已上市1000-9999人,通讯补贴，带薪年假，餐补，零食下午茶，补充医疗保险，年终奖，股票期权，交通补助，节日福利，五险一金，定期体检,https://www.zhipin.com/job_detail/f6be429d3f4eb8161XZ639m5EVNW.html
资深Python开发工程师,北京·朝阳区·奥运村,40-60K·14薪,5-10年本科,途游游戏,游戏不需要融资1000-9999人,节日福利，定期体检，五险一金，全勤奖，员工旅游，零食下午茶，餐补，年终奖，带薪年假，交通补助，股票期权,https://www.zhipin.com/job_detail/9778b157c46bdac91XRz39S8FFBX.html
后端开发工程师（python）,北京·海淀区·万泉河,25-45K·16薪,3-5年本科,小冰,计算机软件A轮100-499人,五险一金，零食下午茶，餐补，带薪年假，补充医疗保险，年终奖，定期体检，节日福利,https://www.zhipin.com/job_detail/871193ed3046f3fe1XZ739-4FFtW.html
Python数据分析师,北京·海淀区·永泰,10-11K,1-3年大专,诚迈科技,移动互联网已上市1000-9999人,员工旅游，加班补助，交通补助，带薪年假，餐补，节日福利，通讯补贴,https://www.zhipin.com/job_detail/293e3ebe6f3431731XZz3dq-F1RS.html
Python系统开发实习生,北京·海淀区·知春路,150-200元/天,4天/周3个月本科,华道资本,投资/融资不需要融资0-20人,节日福利，零食下午茶，餐补，年终奖，定期体检，五险一金，带薪年假，员工旅游,https://www.zhipin.com/job_detail/7c800736963be3c51XR82Nu_F1JQ.html
高级python开发工程师,北京·朝阳区·亚运村,30-50K,3-5年本科,菠萝踏歌,互联网未融资0-20人,交通补助，零食下午茶，春节假，年终奖，节日福利，带薪年假，餐补，五险一金,https://www.zhipin.com/job_detail/599caed4f170e3f71n183N2-EVtY.html
Python开发工程师-可远程,北京·海淀区·中关村,150-300元/天,4天/周2个月大专,边源科技,在线教育B轮100-499人,定期体检，带薪年假，五险一金，补充医疗保险，年终奖，员工旅游,https://www.zhipin.com/job_detail/6e4029abe75125441XV_3d60EFdS.html
服务端开发（Go/Python）,北京,20-30K·15薪,3-5年本科,360集团,互联网D轮及以上1000-9999人,餐补，交通补助，免费班车，通讯补贴,https://www.zhipin.com/job_detail/91b30097677e70341XZ92969E1dS.html
Python后端研发工程师,北京·海淀区·中关村,16-26K·14薪,1-3年本科,中科微澜科技,信息安全天使轮20-99人,节日福利，带薪年假，五险一金，员工旅游，股票期权,https://www.zhipin.com/job_detail/dc7ab19a98c0cf431XZ609q-EVNR.html
Python机器学习讲师,北京,15-25K,经验不限本科,CDA数据分析师,在线教育不需要融资100-499人,节日福利，交通补助，加班补助，餐补，带薪年假，补充医疗保险，五险一金,https://www.zhipin.com/job_detail/6317411e89959a8c1nZ839m6E1NZ.html
python工程师-18-35K,北京·朝阳区·望京,18-35K·13薪,经验不限本科,魔镜市场情报,数据服务不需要融资100-499人,抵制996，股票期权，零食下午茶，带薪年假，定期体检，节日福利，年终奖，五险一金，员工旅游,https://www.zhipin.com/job_detail/ee45e62dba03a36d1nN_39m6E1NW.html
Python,北京·西城区·动物园,14-20K·14薪,在校/应届本科,奇安信集团,信息安全已上市1000-9999人,补充医疗保险，餐补，股票期权，节日福利，定期体检，带薪年假，交通补助，零食下午茶，年终奖，五险一金，通讯补贴,https://www.zhipin.com/job_detail/c8183187e9e5112f1n1439m6EFdW.html
高级Python后端开发工程师,北京·海淀区·中关村,13-30K,3-5年本科,百奥智汇,制药A轮100-499人,带薪年假，零食下午茶，通讯补贴，交通补助，补充医疗保险，节日福利，餐补，定期体检，五险一金,https://www.zhipin.com/job_detail/fe81b6350ad5e7c41nN-29u0EFJU.html
资深python工程师（python/spark/flink）,北京·朝阳区·百子湾,30-50K,3-5年大专,迈外迪,新零售D轮及以上500-999人,五险一金，加班补助，年终奖，通讯补贴，餐补，交通补助，带薪年假，补充医疗保险，定期体检，节日福利,https://www.zhipin.com/job_detail/8dff5b2da25df55f1XVy3tW9EFNW.html
python开发工程师（外派百度）,北京·朝阳区·酒仙桥,10-15K,1-3年本科,软通动力信息技术集团,计算机软件已上市10000人以上,节日福利，加班补助，全勤奖，员工旅游，零食下午茶，五险一金，免费班车，年终奖，带薪年假，定期体检，包吃，通讯补贴，补充医疗保险，交通补助，餐补,https://www.zhipin.com/job_detail/a22ea9805cc789441n162Nq7F1dR.html
Python安全开发工程师,北京·海淀区·双榆树,12-23K,3-5年大专,天防安全,信息安全天使轮20-99人,股票期权，五险一金，餐补，加班补助，节日福利，带薪年假，年终奖，员工旅游,https://www.zhipin.com/job_detail/7679df77ac4a999d1XV90tS5ElJQ.html
python开发工程师 初/中/高级,北京·朝阳区·酒仙桥,12-18K,1-3年本科,博彦科技,移动互联网已上市10000人以上,带薪年假，节日福利，年终奖，定期体检，五险一金,https://www.zhipin.com/job_detail/caa9b23c8c828a691nx73Ni1ElFR.html
Python/PHP研发实习生(J46763),北京·海淀区·西北旺,300-350元/天,5天/周6个月本科,百度,互联网已上市10000人以上,零食下午茶，节日福利，年终奖，餐补，住房补贴，娱乐健身，加班补助，补充医疗保险，员工旅游，交通补助，带薪年假，通讯补贴，免费班车，定期体检，五险一金,https://www.zhipin.com/job_detail/e6998ed3c0c089c41XZ72Nu7GVdV.html
高级Python软件工程师,北京,30-60K·14薪,3-5年本科,最终前沿深空科技,智能硬件A轮20-99人,带薪年假，年终奖，补充医疗保险，五险一金，股票期权，零食下午茶，节日福利，定期体检,https://www.zhipin.com/job_detail/f776b536033bbc0b1nV93ty8E1pX.html
Python开发工程师(风控系统）,北京·朝阳区·望京,20-40K·16薪,3-5年本科,思高网络,互联网金融未融资100-499人,法定节假日三薪，绩效奖金，节日福利，零食下午茶，五险一金，带薪年假，包吃，团建聚餐，年终奖，免费工装，生日福利,https://www.zhipin.com/job_detail/d4aa0032031b04011Xd629m5FFpR.html
Python/PHP研发实习生(J46763),北京·海淀区·西北旺,300-350元/天,5天/周6个月本科,百度,互联网已上市10000人以上,补充医疗保险，五险一金，带薪年假，年终奖，定期体检，免费班车，加班补助，餐补，节日福利，交通补助，住房补贴，通讯补贴，娱乐健身，零食下午茶，员工旅游,https://www.zhipin.com/job_detail/9dd51d81c15e258d1XZ72Nu6EFNZ.html
后端开发工程师（python c++）,北京·海淀区·五道口,20-40K·14薪,3-5年本科,智谱华章,互联网不需要融资100-499人,带薪年假，节日福利，餐补，补充医疗保险，年终奖，定期团建，五险一金，定期体检，零食下午茶，股票期权,https://www.zhipin.com/job_detail/fa2f51557374848c1XVz2tu8EFpQ.html
Python/Go后端开发工程师 — 抖音,北京·海淀区·中关村,30-60K·15薪,经验不限本科,北京字节跳动,移动互联网D轮及以上10000人以上,有无线网，补充医疗保险，加班补助，免费健身房，夜班补助，法定节假日三薪，年终奖，住房补贴，嘀嘀打车，节日福利，零食下午茶，定期体检，餐补，五险一金，股票期权，带薪年假,https://www.zhipin.com/job_detail/c6025d72bb83d3871n1-3di6EFtY.html
高级软件开发工程师（python/golang),北京·朝阳区·酒仙桥,20-40K·15薪,3-5年本科,奇虎360,互联网已上市1000-9999人,定期体检，零食下午茶，免费班车，股票期权，五险一金，餐补，补充医疗保险，节日福利，交通补助，包吃，带薪年假，年终奖,https://www.zhipin.com/job_detail/0a5156bc09a292631XRz39W0E1VZ.html
初级Python开发工程师/双休/不加班,北京·海淀区·西北旺,12-17K·13薪,1-3年本科,法本,计算机软件已上市10000人以上,节日福利，带薪年假，五险一金，零食下午茶，加班补助，年终奖，全勤奖，定期体检，企业文化，员工旅游,https://www.zhipin.com/job_detail/eee8fbf3a5dad6541Xd62t24F1FV.html
Python开发工程师-北京数据存储与机器视觉,北京·海淀区·西北旺,20-35K·15薪,经验不限本科,华为,计算机软件不需要融资10000人以上,补充医疗保险，五险一金，员工旅游，年终奖，节日福利，定期体检，股票期权，餐补，加班补助，零食下午茶,https://www.zhipin.com/job_detail/3c993212453114c81n173d61GVNW.html
Python/Go开发工程师,北京·海淀区·知春路,20-40K·15薪,5-10年本科,京东科技集团,互联网不需要融资1000-9999人,补充医疗保险，五险一金，餐补，免费班车,https://www.zhipin.com/job_detail/80d09ce2ee04e2e91XV52tq7FFVX.html
Python后端开发工程师,北京·海淀区·中关村,28-40K·14薪,3-5年本科,极纳人工智能,计算机软件A轮20-99人,股票期权，零食下午茶，补充医疗保险，餐补，五险一金，定期体检，年终奖，带薪年假,https://www.zhipin.com/job_detail/b355b6a3aa61a34d1nF63Ni6EFJW.html
高级python研发工程师-后端方向,北京,20-35K,5-10年本科,人民科技,移动互联网未融资100-499人,年终奖，补充医疗保险，五险一金，带薪年假，定期体检，节日福利,https://www.zhipin.com/job_detail/e20d21611c9194111XV43dy4F1RR.html
Python开发工程师（数据平台方向）,北京·海淀区·马连洼,15-30K·13薪,1-3年本科,微博,互联网已上市1000-9999人,年终奖，免费班车，定期体检，餐补，带薪年假，补充医疗保险，节日福利，五险一金,https://www.zhipin.com/job_detail/5dab967d3b47260c1nJ_3d6-F1VX.html
Python开发工程师,北京·朝阳区·四惠,15-30K,3-5年本科,蜻蜓智能,计算机软件A轮20-99人,节日福利，员工旅游，全勤奖，定期体检，股票期权，带薪年假，年终奖，五险一金,https://www.zhipin.com/job_detail/5afdbe4ae99931851nN82dW1F1ZV.html
